Year,A3,A4,A5,A6,A7,A8,Q5,Q7,R8,TT,ILX,MDX,RDX,S60,XC60,XC90,Beetle,Golf,Jetta,Passat,Tiguan,4Runner,Avalon,Camry,Corolla,Highlander,Prius,RAV4,Yaris,86,BRZ,Forester,Impreza,Legacy,Outback,Model S,911,Cayenne,Panamera,3-Series,5-Series,6-Series,7-Series,I3,X1,X3,X5,X6,Z4,Enclave,Encore,LaCrosse,CTS,Escalade,XTS,Camaro,Corvette,Cruze,Equinox,Impala,Malibu,Sonic,Spark,Suburban,Tahoe,Traverse,Volt,Challenger,Charger,Durango,Journey,Edge,Escape,Expedition,Explorer,Fiesta,Flex,Fusion,Mustang,Taurus,Acadia,Terrain,Yukon,Accord,Civic,CR-V,Fit,Pilot,Accent,Elantra,Santa Fe,Sonata,Tuscon,Veloster,Q50,Q70,QX50,QX60,QX80,Cherokee,Compass,Grand Cherokee,Wrangler,Cadenza,Forte,Optima,Rio,Sorento,Soul,Sportage,ES,GS,GX,IS,RX,MKT,MKZ,Navigator,Mazda 3,CX-5,CX-9,MX-5 Miata,C-Class,E-Class,G-Class,S-Class,SL-Class,370Z,Altima,Armada,GT-R,Leaf,Maxima,Murano,Pathfinder,Rogue,Sentra,Versa
2019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018,0.8031,0.8418,0.8293,0.7272,0.7874,,0.8169,0.8134,0.8899,0.7986,0.7352,0.8111,0.8606,0.7491,0.8359,0.7915,0.7208,0.8306,0.7351,0.7402,0.7695,0.7753,0.8334,0.7715,0.7569,0.8769,0.8336,0.8108,0.8378,0.8516,0.8516,0.8298,0.8396,0.8487,0.7988,0.7327,0.809,0.7522,0.708,0.7716,0.7827,0.9001,0.7934,0.7684,0.7978,0.8484,0.7845,0.8659,NA,0.8071,0.6697,0.6716,0.6611,0.8198,0.6046,0.6589,0.8206,0.6728,0.6897,0.6847,0.6988,0.7037,0.747,0.8244,0.827,0.8345,0.7132,0.6885,0.7064,0.7913,0.6531,0.7321,0.7344,0.821,0.7201,0.6659,0.7348,0.7837,0.708,0.6356,0.7321,0.7221,0.8071,0.7967,0.8046,0.7837,0.8519,0.8221,0.8152,0.7099,0.7788,0.667,0.7411,NA,0.7295,0.6546,NA,0.7564,0.7038,0.6024,0.7685,0.6968,0.8825,0.797,0.7152,0.655,0.8057,0.662,0.7315,0.7153,0.84,0.8779,0.772,0.8131,0.7907,0.7416,0.8137,0.8831,0.8118,0.7852,0.7962,0.823,0.7345,0.8467,0.8916,0.7801,0.7668,0.7626,0.6124,0.7759,0.704,0.8386,0.6019,0.7492,0.7116,0.6818,0.6569,0.7548
2017,0.7396,0.7263,,0.7052,0.6602,0.664,0.7459,0.7269,0.8188,0.7444,0.6083,0.7691,0.7412,0.6702,0.7288,0.738,0.6468,0.7546,0.688,0.6938,0.7109,0.765,0.7619,0.608,0.6961,0.8034,0.8014,0.7552,0.6974,0.747,0.747,0.8009,0.7921,0.7522,0.7786,0.7202,0.6458,0.734,0.6663,0.6477,0.7423,0.6953,0.7232,0.5403,0.7746,0.7598,0.7438,0.748,NA,0.6307,0.5778,0.6401,0.5552,0.7621,0.5267,0.6103,0.7961,0.6103,0.6194,0.6442,0.6092,0.6454,0.6518,0.7819,0.7478,0.612,0.6865,0.6414,0.7003,0.7324,0.6257,0.6253,0.6208,0.6817,0.6204,0.6459,0.7202,0.5822,0.6132,0.5777,0.7052,0.6436,0.7647,0.6347,0.7284,0.7689,0.7898,0.7981,0.6366,0.6396,0.7563,0.5719,0.7082,0.6787,0.6483,0.5494,0.7016,0.7438,0.5872,0.5726,0.6761,0.6219,0.7746,0.5822,0.6401,0.6208,0.7148,0.577,0.7044,0.6801,0.7572,0.8059,0.6924,0.7373,0.7902,0.6674,0.6548,0.721,0.744,0.7617,0.7789,0.734,0.7105,0.7091,0.8356,0.7554,0.6301,0.7112,0.5531,0.7459,0.6458,0.5148,0.5731,0.7243,0.6219,0.6318,0.6132,0.6793
2016,0.5707,0.6321,0.6908,0.6114,0.6117,0.5243,0.6481,,,0.6716,0.5051,0.5671,0.6457,0.5371,0.6386,0.6421,0.5867,0.6351,0.5722,0.6097,0.5979,0.7297,0.6505,0.5638,0.6433,0.7297,0.7152,0.6742,0.6299,0.6651,0.6651,0.7027,0.7007,0.6819,0.742,0.6151,0.614,0.5996,0.5167,0.5191,0.5571,0.5767,0.5591,0.4081,0.6545,0.644,0.5658,0.6513,0.6055,0.5818,0.521,0.5741,0.4605,0.6445,0.5404,0.5712,0.7348,0.6121,0.6,0.6329,0.5798,0.5755,0.6165,0.7063,0.7134,0.5465,0.5538,0.6127,0.6082,0.7163,0.5628,0.5934,0.5474,0.66,0.5511,0.6107,0.636,0.5224,0.563,0.5653,0.6028,0.6009,0.7095,0.5869,0.6316,0.6433,0.6945,0.7048,0.6139,0.5975,0.6775,0.5138,0.6494,0.5936,0.5943,0.4843,0.6046,0.635,0.5333,0.5227,0.605,0.5698,0.7525,0.493,0.6203,0.5627,0.6618,0.5181,0.6823,0.5948,0.6474,0.7145,0.6,0.6297,0.7024,0.6517,0.5447,0.6217,0.623,0.6211,0.7096,0.6798,0.5099,0.5647,0.7146,0.5761,0.5019,0.6287,0.5187,NA,0.6453,0.4805,0.559,0.6108,0.5941,0.5808,0.5946,0.6325
2015,0.5209,0.5659,0.6315,0.4927,0.5424,0.4418,0.5685,0.5503,0.6779,,0.5072,0.5509,0.5814,0.4966,0.5895,,0.5073,0.5854,0.5327,0.5501,0.5871,0.7116,0.5529,0.5279,0.6336,0.6806,0.5856,0.6329,0.6229,0.652,0.652,0.6498,0.6687,0.6491,0.6785,0.5297,0.5809,0.5843,0.4504,0.4319,0.455,0.4728,0.4378,0.3739,0.4754,0.5966,0.5053,0.5967,0.543,0.5244,0.5034,0.5127,0.3953,0.5762,0.4927,0.5285,0.6933,0.4749,0.5377,0.5449,0.4782,0.523,0.5656,0.6441,0.669,0.5187,0.4454,0.5654,0.5031,0.6408,0.5149,0.5536,0.5292,0.578,0.5227,0.5286,0.5761,0.4816,0.5376,0.4918,0.5225,0.5359,0.6317,0.529,0.5543,0.5933,0.6716,0.6555,0.6095,0.5583,0.632,0.4806,0.612,0.5788,0.4406,0.4168,0.5689,0.4994,0.4986,0.5557,0.5953,0.4832,0.7347,0.442,0.5952,0.4695,0.5807,0.4706,0.6272,0.5895,0.5771,0.5579,0.5573,0.5872,0.5978,0.6043,0.5357,0.5621,0.592,0.6067,0.588,0.5769,0.4098,0.5404,0.5613,0.518,0.4061,0.5771,0.4511,0.6046,0.5754,0.3718,NA,0.5844,0.5189,0.5731,0.5281,0.5954
2014,,0.5022,0.5003,0.4475,0.4752,0.3768,0.5229,0.5006,0.6696,0.529,0.432,0.5136,0.5295,0.415,0.5075,0.5539,0.5137,0.5346,0.5314,0.4822,0.5416,0.6858,0.5231,0.4857,0.6106,0.6446,0.5356,0.6112,0.6191,0.5665,0.5665,0.6138,0.6202,0.597,0.6313,0.4736,0.4978,0.4797,0.3977,0.4066,0.4214,0.4122,0.3644,0.3201,0.417,0.4533,0.4762,0.451,0.4708,0.472,0.4831,0.4419,0.3772,0.4919,0.4225,0.4456,NA,0.4006,0.4726,0.4982,0.4413,0.4412,0.4739,0.5739,0.5682,0.4963,0.4075,0.5337,0.4413,0.5826,0.4696,0.4831,0.4603,0.5006,0.5098,0.4958,0.4962,0.4247,0.4683,0.4197,0.4789,0.4982,0.5349,0.5134,0.5451,0.5596,NA,0.6263,0.5295,0.5291,0.5481,0.4599,0.5637,0.5185,0.4568,NA,0.5244,0.481,0.4431,0.5122,0.5405,0.4517,0.7203,0.392,0.5197,0.4608,0.5361,0.4525,0.5827,0.5783,0.5582,0.5496,0.5147,0.5182,0.603,0.5165,0.4853,0.477,0.5638,0.5548,0.5272,0.5574,0.3507,0.4345,0.5227,0.4825,0.3818,0.5602,0.4093,0.5638,0.5557,0.3439,0.4165,0.4588,0.4499,0.5527,0.5208,0.5355
2013,0.484,0.4378,0.4285,0.3974,0.435,0.3149,0.4283,0.4326,,0.5091,0.4131,0.3953,0.4631,0.3697,0.4182,0.4122,0.4669,0.4771,0.4803,0.4132,0.468,0.6103,0.4759,0.4639,0.5643,0.5269,0.4789,0.5765,0.6153,0.5228,0.5228,0.58,0.5628,0.536,0.5641,0.4841,0.4497,0.4317,0.3339,0.3781,0.313,0.3611,0.2999,NA,0.3741,0.3715,0.3319,0.3915,NA,0.4203,0.4769,0.3699,0.3409,0.4125,0.3582,0.43,0.5474,0.3799,0.3895,0.3746,0.3851,0.4022,0.4464,0.4864,0.4791,0.42,0.3353,0.4894,0.4387,0.4787,0.4085,0.3992,0.3826,0.4459,0.4488,0.4268,0.4154,0.3783,0.4575,0.3718,0.452,0.4213,0.4786,0.4772,0.4839,0.5514,0.5832,0.5226,0.4665,0.4504,0.4498,0.3918,0.503,0.4423,NA,NA,NA,NA,NA,NA,0.5173,0.4167,0.6423,NA,0.4706,0.4203,0.4596,0.42,0.4806,0.5466,0.5057,0.4813,0.4167,NA,0.5196,0.4134,0.4412,0.3997,0.4428,0.5196,0.4467,0.5091,0.3004,0.3778,0.502,NA,0.3366,0.4937,0.3751,0.4998,0.545,0.2759,0.4144,0.4164,0.4144,0.4418,0.4462,0.4722
2012,0.3954,0.3478,0.3424,0.3396,0.3728,0.2835,0.3865,0.3365,0.5707,0.4399,,0.3448,0.3991,0.3014,0.3551,0.3525,0.3868,0.4305,0.4448,0.3814,0.4072,0.5874,0.4096,0.411,0.5368,0.4857,0.4449,0.4843,0.5152,,,0.5161,0.5409,0.4276,0.4926,0.4704,0.428,0.3491,0.2806,0.3308,0.2792,0.3152,0.2365,NA,NA,0.3417,0.2698,0.3317,NA,0.3317,NA,0.3247,0.2885,0.3591,NA,0.4079,0.5023,0.3258,0.3659,0.3281,0.2949,0.3655,NA,0.4524,0.4565,0.3031,0.29,0.4995,0.4057,0.4156,0.3558,0.3658,0.3042,0.4099,0.4333,0.3833,0.3676,0.2929,0.3839,0.3464,0.3443,0.3904,0.4414,0.3786,0.3958,0.5011,0.4898,0.4773,0.454,0.4442,0.3891,0.359,0.4745,0.4443,NA,NA,NA,NA,NA,NA,0.4563,0.3685,0.618,NA,0.4049,0.4089,0.4053,0.3623,0.46,0.4626,0.42,NA,0.3847,NA,0.4598,0.3418,0.3305,0.3356,0.4144,NA,0.3916,0.4696,0.2752,0.3275,NA,0.2824,NA,0.4608,0.3109,0.4166,NA,0.2367,0.3746,0.3618,0.3636,0.4208,0.3767,0.4098
2011,0.3313,0.2776,0.2964,0.2352,,0.236,0.3205,0.3081,0.5716,0.3694,,0.2979,0.3304,0.2775,0.3132,0.2918,,0.4017,0.4105,,0.3541,0.5345,0.3767,0.3494,0.4937,0.4592,0.3947,0.4288,0.4853,,,0.4458,0.5277,0.36,0.4207,,0.4261,0.3319,0.2746,0.2153,0.2388,NA,0.1992,NA,NA,0.2917,0.2399,0.2894,0.3327,0.2832,NA,0.3201,0.2383,0.3144,NA,0.412,0.4886,0.3099,0.3187,0.3045,0.2772,NA,NA,0.385,0.3813,0.2758,0.293,0.496,0.3539,0.3975,0.3075,0.3199,0.2906,0.3502,0.3815,0.3603,0.2999,0.2764,0.3509,0.2899,0.3018,0.3511,0.3795,0.3555,0.3801,0.4126,0.482,0.3871,0.3478,0.4013,0.3526,0.3093,0.4182,NA,NA,NA,NA,NA,NA,NA,0.4101,0.3341,0.5381,NA,0.3864,0.3765,0.3175,0.3081,0.444,0.4237,0.3674,0.3541,0.3499,0.3503,0.4196,0.271,0.2749,0.3021,0.3925,NA,0.3501,0.4062,0.2358,0.2747,NA,0.2735,0.2653,0.4553,0.3047,0.4129,NA,0.2065,0.3295,0.3157,0.346,0.372,0.3362,0.3959
2010,0.2546,0.2336,0.2804,0.1862,,,0.3143,0.2604,0.5734,,,0.2794,0.3111,,0.2574,0.2368,,0.3397,0.3536,0.2868,0.3289,0.4928,0.3313,0.348,0.3982,0.4331,0.3322,0.3952,0.45,,,0.3632,0.4542,0.3191,0.3811,,0.4439,0.2507,0.2806,0.2114,0.1588,0.2087,0.1796,NA,NA,0.2182,0.1931,NA,NA,0.2672,NA,0.3014,0.2167,0.2684,NA,0.421,0.4796,NA,0.2933,0.2942,0.2543,NA,NA,0.3733,0.3676,0.2558,NA,0.4651,0.2714,NA,0.2493,0.2854,0.2483,0.3237,0.2782,NA,0.2745,0.2369,0.3087,0.2782,0.2626,0.3392,0.3771,0.3104,0.3364,0.3977,0.4034,0.3776,0.3131,0.3422,0.3174,0.2746,0.3809,NA,NA,NA,NA,NA,NA,NA,0.332,0.3192,0.5003,NA,0.3383,0.2612,0.3248,NA,0.3843,0.3069,0.3493,0.3262,0.3426,NA,0.3685,0.2333,0.2448,0.2665,0.32,NA,0.3124,0.4113,0.2143,0.25,NA,0.2349,NA,0.4069,0.2781,0.3145,0.4992,NA,0.2955,0.2908,0.3034,0.3317,0.3052,0.3801
