Make\Model,Make,Model,YTD,position,MPG,Torque,Horsepower,Reliability,Category,rank
Honda Civic,Honda,Civic,325760,50,33.5,138,158,77,Compact Cars,1
Toyota Corolla,Toyota,Corolla,303732,50,34.5,126,139,83,Compact Cars,2
Nissan Sentra,Nissan,Sentra,213046,50,28,128,130,76,Compact Cars,3
Hyundai Elantra,Hyundai,Elantra,200415,50,31,132,147,77,Compact Cars,4
Chevrolet Cruze,Chevrolet,Cruze,142618,50,38,177,153,81,Compact Cars,5
Ford Focus,Ford,Focus,114045,50,,,,75,Compact Cars,6
Kia Forte,Kia,Forte,101890,50,34,,147,75,Compact Cars,7
Volkswagen Jetta,Volkswagen,Jetta,90794,50,35,184,147,79,Compact Cars,8
Toyota Prius Family,Toyota,Prius,87590,50,30,105,121,74,Compact Cars,9
Subaru Impreza,Subaru,Impreza,76400,50,30,145,152,73,Compact Cars,10
Mazda 3,Mazda,Mazda 3,64638,50,30.5,186,186,73,Compact Cars,11
Volkswagen Golf,Volkswagen,Golf,42271,50,29,184,147,77,Compact Cars,12
Subaru Legacy,Subaru,Legacy,40109,50,26,174,175,78,Compact Cars,13
Chevrolet Volt,Chevrolet,Volt,18306,50,42.5,294,149,69,Compact Cars,14
Chevrolet Bolt,Chevrolet,Bolt,18020,50,,266,200,73,Compact Cars,15
Hyundai Ioniq,Hyundai,Ioniq,15076,50,57,109,139,70,Compact Cars,16
Nissan Leaf,Nissan,Leaf,14715,50,25,236,147,74,Compact Cars,17
Honda Insight,Honda,Insight,12513,50,50,99,151,72,Compact Cars,18
Hyundai Veloster,Hyundai,Veloster,10871,50,25,132,147,76,Compact Cars,19
Smart ForTwo,Smart,ForTwo,1276,50,,,,65,Compact Cars,20
Toyota RAV4,Toyota,RAV4,427168,50,15,184,203,79,Compact SUVs,1
Nissan Rogue,Nissan,Rogue,412110,50,33,175,170,78,Compact SUVs,2
Honda CR-V,Honda,CR-V,379021,50,29.5,180,184,79,Compact SUVs,3
Chevrolet Equinox,Chevrolet,Equinox,332621,50,30.5,203,170,81,Compact SUVs,4
Ford Escape,Ford,Escape,272228,50,25.5,170,168,78,Compact SUVs,5
Jeep Wrangler,Jeep,Wrangler,240032,50,21,260,285,72,Compact SUVs,6
Jeep Cherokee,Jeep,Cherokee,239437,50,24.5,171,180,76,Compact SUVs,7
