Model,MPG,Torque,Horsepower,Reliability,Wheelbase
A3,0.9,0.605,0.42,0.6,0.46
A4,0.833,0.68,0.44,0.65,0.7
A5,0.7,0.865,0.74,0.75,0.667
ILX,0.933,0.4,0.505,0.5,0.5
MDX,0.533,0.835,0.95,0.45,0.7
NSX,0.6,1.88,2.365,0.5,0.45
RDX,0.433,0.9,0.86,0.6,0.61
RLX,0.6,0.86,1.05,0.65,0.74
TLX,0.633,0.41,0.53,0.7,0.643
 4C,0.9,0.79,0.685,0.5,0.123
 Giulia,0.533,1.03,0.9,0.5,0.7
Stelvio,0.533,1.03,0.9,0.5,0.697
A6,0.7,1.345,1.175,0.55,0.837
A7,0.7,1.345,1.175,0.95,0.84
A8,0.533,1.345,1.175,0.85,1.103
Q3,0.6,0.535,0.5,0.4,0.417
Q5,0.533,0.865,0.74,0.7,0.7
Q7,0.467,0.865,0.74,0.65,0.93
Q8,0.707,1.345,1.175,0.65,0.93
R8,0.2,1.49,2.16,0.6,0.48
TT,0.633,0.79,0.6,0.65,0.287
2-Series,0.733,0.79,0.74,0.55,0.53
3-Series,0.867,0.975,0.775,0.65,0.717
4-Series,0.667,0.79,0.74,0.75,0.687
5-Series,0.7,1.05,0.74,0.8,0.903
6-Series,0.433,1.16,1.175,0.75,0.96
7-Series,0.4,1.15,1.1,0.95,1.213
8-Series,0.433,2.265,2.115,0.9,0.523
I3,1.667,0.42,0.35,0.5,0.373
I8,-1,-0.5,-0.5,-3.5,0.673
X1,0.8,0.79,0.64,0.45,0.503
X2,0.767,0.79,0.64,0.5,0.503
X3,0.667,0.79,0.74,0.8,0.76
X4,0.633,0.79,0.74,0.8,0.757
X5,0.433,1.15,1.175,0.6,0.903
X6,0.267,1,1,0.85,0.85
Cascada,0.667,0.535,0.5,0.45,0.537
Enclave,0.433,0.83,1.05,0.65,1.03
Encore,0.833,0.24,0.19,0.35,0.353
Envision,0.633,0.46,0.485,0.65,0.61
LaCrosse,0.833,0.435,0.47,0.85,0.813
Regal,0.7,0.8,0.75,0.7,0.713
ATS,0.533,0.975,0.86,0.7,0.523
CT6,0.733,0.79,0.685,0.8,1.08
CTS,0.467,0.975,0.825,0.7,3.517
Escalade,0.233,1.8,1.6,1.05,1.03
XT4,0.733,0.79,0.685,0.8,0.647
XT5,0.467,0.855,1.05,0.8,0.75
XTS,0.433,0.82,1.02,0.85,0.723
